Form_Number,Age,Gender,No.of dependents,Occupation,City,"Education(1-ungraduate, 2-graduate,3-postgraduate)",Personal Income(in $),Personal Income,Family Income(in $),Family Income,Amount invested In last 6 months,Amount invested till date(in $),Amount invested till date,Earnings till date(NFT),Retained,last_transaction
1,66,Male,0,self_employed,187,2,1458.71,109403.25,1458.71,291742,3,0.2,3,17388.84,0,21-05-2019
2,35,Male,0,self_employed,,2,5390.37,404277.75,7799.26,1559852,1508.4,100.56,1508.4,149032.92,0,01-11-2019
4,31,Male,0,salaried,146,2,3913.16,293487,4910.17,982034,3888.45,259.23,3888.45,33791.28,0,NaT
5,90,,,self_employed,1020,2,2291.91,171893.25,2084.54,416908,32149.95,2143.33,32149.95,12078.48,1,06-08-2019
6,42,Male,2,self_employed,1494,3,927.72,69579,1643.31,328662,23070.9,1538.06,23070.9,22453.44,1,03-11-2019
7,42,Female,0,self_employed,1096,2,15202.2,1140165,15211.29,3042258,4291.05,286.07,4291.05,165585.84,0,01-11-2019
8,72,Male,0,retired,1020,1,7006.93,525519.75,7859.74,1571948,6588.9,439.26,6588.9,134788.44,0,24-09-2019
9,46,Male,0,self_employed,623,2,10096.58,757243.5,6511.82,1302364,85326.6,5688.44,85326.6,195770.04,0,12-07-2019
10,31,Male,0,salaried,1096,2,1355.86,101689.5,1702.44,340488,5391.6,359.44,5391.6,13513.56,0,12-12-2019
11,40,Male,3,self_employed,1020,2,4957.95,371846.25,2168.53,433706,20232.75,1348.85,20232.75,22371.96,0,31-12-2019
12,68,Male,0,retired,409,3,1928.76,144657,1722.6,344520,3131.85,208.79,3131.85,8971.92,0,26-12-2019
13,32,Male,0,salaried,1096,1,6886.4,516480,9149.45,1829890,77429.4,5161.96,77429.4,252090.24,0,11-12-2019
14,73,Male,0,retired,44,3,554.38,41578.5,1794.39,358878,7627.95,508.53,7627.95,1647.00,1,14-11-2019
15,50,Male,0,salaried,409,1,4548.48,341136,2831.89,566378,37946.25,2529.75,37946.25,96909.72,0,03-03-2019
16,48,Female,0,self_employed,665,2,5431.42,407356.5,6532.99,1306598,42172.95,2811.53,42172.95,40137.60,1,09-11-2019
17,51,Female,0,self_employed,1232,3,2010.98,150823.5,1829.43,365886,5410.5,360.7,5410.5,28986.84,0,NaT
19,49,Male,0,self_employed,1125,3,1448.49,108636.75,3021.27,604254,18861.15,1257.41,18861.15,20531.16,1,31-12-2019
20,52,Female,0,self_employed,1096,2,5292.13,396909.75,3946.99,789398,250.5,16.7,250.5,9.00,0,28-12-2019
21,47,Female,1,self_employed,146,1,3507.71,263078.25,4356.62,871324,129008.4,8600.56,129008.4,6553.00,0,23-10-2019
22,41,Female,0,self_employed,1020,2,3042.7,228202.5,2843.98,568796,15004.5,1000.3,15004.5,6.00,1,30-11-2019
23,45,Male,0,self_employed,1020,2,2.18,163.5,5003.79,1000758,11170.95,744.73,11170.95,57354.00,1,08-12-2019
